bin,rho
0,0.14443595241024873
1,0.16205694252952452
2,0.15916748815755352
3,0.15574342176774553
4,0.1550391312257243
5,0.15362960437052947
6,0.14746044160204894
7,0.14255527760526296
8,0.1459319911212406
9,0.12889901923825087
